Person,Time,Date,Number of Guesses,Correct Letters Guess 1,Correct Letters Guess 2,Correct Letters Guess 3,Correct Letters Guess 4,Correct Letters Guess 5,Correct Letters Guess 6
Jordan,01:10:00,22/01/2022,3,2,4,5,5,5,5
Kathryn,04:40:00,22/01/2022,4,1,1,4,5,5,5
Ollie,05:45:00,22/01/2022,5,2,2,3,4,5,5
Jonny,07:43:00,22/01/2022,3,2,4,5,5,5,5
Andrew,08:42:00,22/01/2022,3,2,3,5,5,5,5
Rob F,09:05:00,22/01/2022,3,1,3,5,5,5,5
Sam,09:49:00,22/01/2022,3,3,4,5,5,5,5
Matt,09:50:00,22/01/2022,4,1,1,4,5,5,5
Zora,11:51:00,22/01/2022,5,2,3,3,4,5,5
Henry,00:04:00,23/01/2022,4,2,2,2,5,5,5
Celeste,00:06:00,23/01/2022,3,0,2,5,5,5,5
Jordan,00:15:00,23/01/2022,4,2,3,3,5,5,5
Ben,00:29:00,23/01/2022,4,1,2,4,5,5,5
Rhi,01:13:00,23/01/2022,3,2,3,5,5,5,5
Kathryn,03:18:00,23/01/2022,4,2,2,4,5,5,5
Jonny,07:45:00,23/01/2022,4,1,1,4,5,5,5
Ollie,07:47:00,23/01/2022,3,1,2,5,5,5,5
Andrew,08:09:00,23/01/2022,4,1,1,3,5,5,5
Matt,09:28:00,23/01/2022,3,1,4,5,5,5,5
Rob F,10:35:00,23/01/2022,3,2,5,5,5,5,5
Zora,13:17:00,23/01/2022,4,1,2,4,5,5,5
Celeste,00:02:00,24/01/2022,3,1,3,5,5,5,5
Henry,00:23:00,24/01/2022,6,1,1,3,3,0,5
Rhi,00:25:00,24/01/2022,5,0,0,3,3,5,5
Kathryn,03:37:00,24/01/2022,4,0,2,2,5,5,5
Jonny,07:40:00,24/01/2022,3,2,3,5,5,5,5
Rob F,07:46:00,24/01/2022,4,2,3,5,5,5,5
Rob W,08:24:00,24/01/2022,4,1,3,3,5,5,5
Ollie,08:47:00,24/01/2022,4,1,3,3,5,5,5
Ben,08:58:00,24/01/2022,6,0,2,2,3,3,5
Matt,09:07:00,24/01/2022,4,0,2,3,5,5,5
Jordan,09:11:00,24/01/2022,3,0,2,5,5,5,5
Andrew,09:18:00,24/01/2022,4,1,2,3,5,5,0
Sam,09:53:00,24/01/2022,4,2,2,4,5,5,5
Owen,12:40:00,24/01/2022,5,1,2,3,4,5,5
Zora,13:13:00,24/01/2022,4,0,1,2,5,0,0
